Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1366400.00 48031.5352 202.074188 3853.65723 2466.60181 1969.57068 7135.62354 1916.61646 -25.3338451 -8.08784199 269.189453 -190.901245
1366600.00 48031.5352 196.846497 3730.43042 2402.79028 1962.91138 6978.83350 1904.70862 -20.1874676 -8.08784199 269.072388 -190.682083
1366800.00 48031.5352 197.897995 3487.05054 2415.62549 1925.33398 6783.60547 1869.47510 -22.4627972 -8.08784199 269.112579 -190.790939
1367000.00 48031.5352 197.598877 3800.69092 2411.97412 2032.95361 7107.27637 1958.62415 -3.88785005 -8.08784199 269.229340 -191.011917
1367200.00 48031.5352 199.276428 3718.02832 2432.45117 1981.92273 7018.81787 1915.81580 -11.7116718 -8.08784199 268.807922 -190.989334
1367400.00 48031.5352 198.628433 3747.78296 2424.54150 1948.34949 6998.17822 1898.14050 -28.5391102 -8.08784199 269.379913 -190.631805
1367600.00 48031.5352 201.071960 3450.00293 2454.36816 2021.40637 6892.46924 1967.27771 -24.7609367 -8.08784199 269.340607 -190.451065
1367800.00 48031.5352 197.624863 3372.77100 2412.29150 1966.98767 6741.87402 1921.70288 -33.8138046 -8.08784199 269.583313 -190.484741
1368000.00 48031.5352 202.178925 3918.95947 2467.88037 1946.63684 7159.71191 1887.32422 -19.6543026 -8.08784199 269.530365 -190.563293
1368200.00 48031.5352 200.748444 3606.80762 2450.41943 2012.92615 6989.88037 1946.65845 -13.4730749 -8.08784199 270.214722 -190.473816
1368400.00 48031.5352 194.001495 2499.74292 2368.06323 2017.68726 6136.79688 1945.23010 -6.49767923 -8.08784199 269.690674 -190.735809
1368600.00 48031.5352 203.647766 2351.77075 2485.80957 2022.63379 6155.83691 1956.04175 -11.8987560 -8.08784199 269.119263 -190.628326
1368800.00 48031.5352 197.739532 2451.32153 2413.69116 2019.86743 6150.68652 1955.26050 -14.0887661 -8.08784199 269.469818 -190.774094
1369000.00 48031.5352 199.414612 2299.93994 2434.13794 1998.56885 6043.79297 1931.93091 -11.7977552 -8.08784199 269.274048 -190.838333
1369200.00 48031.5352 208.099869 2448.38281 2540.15381 1955.89905 6211.12207 1908.15881 -30.6005478 -8.08784199 269.305481 -190.964645
1369400.00 48031.5352 199.073807 3581.30835 2429.97778 1975.29468 6913.94580 1916.48560 -20.3304195 -8.08784199 269.941803 -190.802261
1369600.00 48031.5352 205.236908 4902.09814 2505.20728 1959.36072 7898.44189 1896.20020 -15.3566771 -8.08784199 269.466980 -190.949814
1369800.00 48031.5352 198.845963 4429.19434 2427.19678 1972.87476 7502.68066 1910.06262 -16.3531914 -8.08784199 269.889709 -190.724335
1370000.00 48031.5352 203.321579 3597.31201 2481.82788 1938.58716 6940.29834 1892.14001 -31.8953037 -8.08784199 269.106873 -190.764496
1370200.00 48031.5352 200.153976 4011.98560 2443.16284 2008.22473 7261.74609 1944.10278 -14.0866203 -8.08784199 269.276184 -191.067642
1370400.00 48031.5352 199.448853 3371.73315 2434.55591 1994.40454 6790.82812 1942.42249 -25.8735046 -8.08784199 268.987091 -191.131607
1370600.00 48031.5352 196.783310 2545.97388 2402.01929 1916.01379 6101.46387 1866.40625 -28.4498672 -8.08784199 269.116028 -191.058563
1370800.00 48031.5352 197.690292 2383.88501 2413.09009 1982.95850 6065.93799 1932.41821 -27.4912262 -8.08784199 269.176636 -191.145065
1371000.00 48031.5352 202.195328 3396.33179 2468.08057 1976.13025 6823.30957 1927.21777 -29.1427269 -8.08784199 269.030518 -190.975327
1371200.00 48031.5352 202.340866 3851.72290 2469.85693 1966.96179 7134.91455 1915.97473 -27.4322777 -8.08784199 269.355743 -190.936386
1371400.00 48031.5352 198.099747 3062.49951 2418.08789 1958.74243 6522.08252 1901.62634 -21.5957966 -8.08784199 269.790985 -191.079254
1371600.00 48031.5352 204.009445 2822.33032 2490.22437 1973.31348 6440.55371 1926.56226 -32.1828995 -8.08784199 269.882080 -190.947876
1371800.00 48031.5352 200.505524 3979.44263 2447.45410 1966.55115 7201.56787 1924.51648 -36.9557381 -8.08784199 269.978455 -190.988098
1372000.00 48031.5352 196.963348 3669.40601 2404.21680 2018.10864 6992.70996 1966.63562 -26.7677422 -8.08784199 269.319794 -191.078934
1372200.00 48031.5352 200.561981 2891.27197 2448.14307 2031.62915 6505.08154 1980.52954 -26.7809143 -8.08784199 269.046753 -191.166214
1372400.00 48031.5352 199.862045 3559.34399 2439.59937 1951.42407 6884.31104 1902.94946 -29.4867611 -8.08784199 269.268188 -191.306793
1372600.00 48031.5352 199.501694 3285.84009 2435.20093 2027.60376 6764.50488 1972.23315 -22.5602455 -8.08784199 269.319977 -191.389313
1372800.00 48031.5352 200.779938 2439.55640 2450.80371 2003.51855 6163.20898 1957.35181 -31.7801647 -8.08784199 269.041656 -191.094696
1373000.00 48031.5352 197.118866 2365.01611 2406.11499 2020.93262 6083.71924 1970.64282 -27.2607079 -8.08784199 268.783478 -191.233002
1373200.00 48031.5352 202.501114 3195.25952 2471.81299 1958.06421 6668.12646 1919.60522 -38.8553810 -8.08784199 268.612762 -191.298325
1373400.00 48031.5352 199.570938 3474.38330 2436.04614 1984.10730 6853.92676 1938.45667 -31.6698341 -8.08784199 268.819855 -191.499435
1373600.00 48031.5352 200.387833 3914.22437 2446.01733 1983.98877 7171.88379 1920.85535 -15.3342886 -8.08784199 269.786072 -191.318344
1373800.00 48031.5352 203.456573 4307.05469 2483.47583 2024.05481 7524.58252 1970.76416 -24.1415901 -8.08784199 268.902679 -191.470383
1374000.00 48031.5352 198.052582 3670.38550 2417.51245 1982.93054 6971.51367 1931.26917 -25.6869144 -8.08784199 268.716888 -191.368744
1374200.00 48031.5352 200.970413 2804.40161 2453.12866 1979.25256 6396.83838 1925.35706 -24.2772503 -8.08784199 269.354614 -191.181854
1374400.00 48031.5352 200.738724 2879.95630 2450.30078 1983.54614 6451.22949 1942.40564 -36.8010826 -8.08784199 269.174011 -191.232300
