Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
5800.00000 44373.7305 182.951767 -10320.7344 2233.18555 4923.19287 949.420654 954.870911 439.246796 47.3820953 2390.92041 -3274.18286 -87.5458298 25499.7344 -19693.2793 477.363647 1.07414186 27.9191837 39.0878716 40.6624641 89.7111359 90.3195267 90.0629501
6000.00000 44160.2891 192.223557 1024.53015 2346.36084 4817.53320 645.205627 1157.95508 274.637024 38.1225433 2115.92041 -3214.29272 -87.9689636 25608.2109 -19692.3047 7823.72510 1.07933354 27.9475555 39.1162148 40.3957901 89.8297882 90.1751556 89.8815689
6200.00000 44128.7188 192.677155 12845.4648 2351.89771 4865.32178 887.538025 702.366760 457.038086 58.9523048 2105.89526 -3209.25635 -88.0318985 25654.3398 -19685.6562 15484.2031 1.08010578 28.0111942 38.9983406 40.3987885 90.4639206 89.9233932 89.6084290
6400.00000 43855.1289 202.472549 12116.3594 2471.46436 4660.57422 695.708252 893.341614 345.086517 23.5236645 1957.66016 -3184.72437 -88.5810852 25572.2734 -19684.6348 14881.4453 1.08684397 28.0009689 38.9093094 40.2544403 90.3976517 89.9500046 89.6237717
6600.00000 44471.0781 190.638107 -2074.57104 2327.00830 4809.70068 695.931274 942.439880 454.313599 51.6628342 2144.34766 -3095.90137 -87.3541870 25450.2129 -19688.9570 5791.21484 1.07179058 28.2206535 39.0473900 40.3586578 90.5226440 90.0257263 90.0148315
6800.00000 45003.7148 196.360504 -11216.2178 2396.85815 4763.25537 885.848145 749.373718 413.526428 59.0564957 2107.80469 -3140.64429 -86.3203201 25487.4473 -19691.3535 -201.460251 1.05910563 28.2282963 39.4877892 40.3749580 90.2611847 90.0451736 89.6837921
7000.00000 44594.9141 199.213562 -2128.56494 2431.68384 4895.45703 891.170349 697.932251 460.893524 38.7618637 2088.75806 -3197.26538 -87.1116104 25694.8027 -19690.8379 5942.78369 1.06881440 28.1701393 39.1410637 40.4457016 89.9995651 90.0548935 89.6426392
7200.00000 44142.9609 181.253906 7215.66064 2212.46069 4957.02002 769.444153 1015.81708 480.574829 39.0241470 2304.86035 -3200.68408 -88.0034943 25549.3555 -19696.5117 11814.7773 1.07975733 28.0896416 39.0092316 40.2870407 90.4090729 89.9108582 89.7017441
7400.00000 43781.1094 193.946747 4952.03076 2367.39478 4791.47754 921.341797 803.843872 298.731171 64.4385529 2088.35547 -3236.38892 -88.7308502 25633.0273 -19693.5176 10320.7568 1.08868146 28.0137863 38.8928490 40.1837883 90.2462387 89.8911285 89.8847122
7600.00000 43856.1719 220.860184 -6499.61426 2695.91162 4490.83154 667.021973 701.275696 518.991150 22.0733509 1909.36218 -3259.35742 -88.5789795 25533.1094 -19692.2812 3029.60791 1.08681822 28.1540966 38.8198814 40.1271896 90.0237808 89.8936539 89.7862625
7800.00000 44101.7695 201.229324 -13679.3887 2456.28906 4602.58740 807.254578 807.018677 481.279907 22.9415264 2118.49463 -3226.74829 -88.0856934 25408.6758 -19697.8340 -1739.42065 1.08076584 28.1615162 38.9398918 40.2202950 89.4648056 89.9655075 89.4367065
8000.00000 44514.6289 194.958664 -3303.06201 2379.74683 4791.43457 945.750488 765.417053 260.619843 43.0884476 2014.87585 -3028.55981 -87.2687302 25503.8379 -19698.7207 5026.83301 1.07074213 28.1364479 39.2910690 40.2669716 89.8072205 90.0513611 89.6816635
8200.00000 44138.5508 179.836823 10711.1221 2195.16309 4949.51416 710.450439 917.560547 524.751953 54.6426086 2207.40552 -3184.37012 -88.0122910 25623.0547 -19696.5762 14039.5918 1.07986522 28.0832767 38.9593735 40.3430023 90.2314758 90.1794434 89.7473907
8400.00000 44097.7695 180.182922 9246.70020 2199.38770 4918.41650 826.062012 858.882507 538.696167 105.202980 2328.84351 -3287.07422 -88.0936890 25569.8828 -19693.2363 13064.5488 1.08086395 28.1465893 38.8733330 40.3047447 90.3563385 90.3282776 89.8417282
8600.00000 43903.4688 186.570557 1545.44910 2277.35791 4839.87842 812.720886 828.289917 511.630737 75.0089111 2227.65039 -3200.10376 -88.4835510 25507.9473 -19695.6172 8106.76709 1.08564734 28.0837135 38.8100510 40.2821350 89.9939728 90.4269867 89.9263077
8800.00000 44517.2305 204.445755 -4379.66504 2495.55005 4723.43750 837.817078 691.113220 391.968506 56.3129959 1977.21179 -3214.62549 -87.2636261 25657.7559 -19696.9023 4375.54248 1.07067955 28.0488586 38.9630814 40.7350273 90.1266479 90.2955933 90.1521378
9000.00000 43871.5195 199.086685 -1261.26782 2430.13501 4742.22266 713.535522 819.143738 509.840637 66.9702530 2109.49023 -3098.80640 -88.5479889 25428.6582 -19697.1191 6365.37207 1.08643794 28.0555172 38.4837532 40.6348076 89.9882126 90.3740005 90.1714859
9200.00000 44418.9531 194.735291 -648.108826 2377.02026 4809.12207 940.215698 820.649414 505.346008 47.0017395 2313.21289 -3200.94580 -87.4566956 25393.9922 -19697.1387 6766.29443 1.07304835 28.1903706 38.7352562 40.6795616 89.9555817 90.3234100 90.3510056
