Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Lx Ly Lz
10800.0000 54436.5547 216.567993 563.644165 2643.51929 6188.05762 792.168579 778.873291 467.776764 69.3914413 2108.21021 -2317.89478 -71.3626175 25723.6914 -19325.9492 9279.05469 0.875582337 30.8294392 39.0506248 45.2165108
11000.0000 54448.0625 222.669830 450.117340 2718.00098 6167.89844 785.023010 771.351685 480.337769 73.2295227 2109.94189 -2338.12256 -71.3475342 25725.4902 -19329.4121 9243.32324 0.875397265 30.8316116 39.0533752 45.2196960
11200.0000 54533.3164 223.672455 99.4836807 2730.23926 6252.32812 821.551697 753.036011 492.472351 78.5641785 2145.62427 -2323.51147 -71.2359924 25756.4844 -19326.2695 9061.68848 0.874028742 30.8476944 39.0737457 45.2432861
11400.0000 54745.2891 216.891342 -855.930664 2647.46631 6224.88086 822.434692 740.735901 513.877136 78.4270477 2155.47485 -2340.65308 -70.9601669 25735.6426 -19325.5820 8188.96875 0.870644510 30.8876114 39.1243095 45.3018303
11600.0000 54635.1836 218.114365 -472.713379 2662.39502 6247.95361 811.053528 777.778748 489.191803 74.1514206 2152.17529 -2314.50342 -71.1031723 25738.1387 -19327.8574 8533.69141 0.872399092 30.8668900 39.0980606 45.2714386
11800.0000 54574.8438 223.073303 -132.701370 2722.92578 6267.55518 812.575562 788.645325 480.982178 77.3753357 2159.57837 -2327.87939 -71.1817856 25756.7598 -19320.9023 8884.86133 0.873363614 30.8555222 39.0836639 45.2547684
12000.0000 54426.2617 220.901154 306.312927 2696.41162 6149.04639 808.574951 731.472107 473.354889 75.7052536 2089.10718 -2328.07715 -71.3761139 25716.5508 -19328.5352 9088.59375 0.875747919 30.8274956 39.0481606 45.2136612
12200.0000 54421.5664 218.942657 -993.306274 2672.50537 6149.47363 796.883240 763.443054 477.648499 76.7508545 2114.72559 -2344.42090 -71.3822708 25710.9004 -19331.7305 8033.60889 0.875823438 30.8266106 39.0470390 45.2123604
12400.0000 54530.0312 214.069153 -708.430908 2613.01733 6174.21826 814.639832 724.127136 472.899597 76.7227402 2088.38940 -2325.84106 -71.2402802 25739.3301 -19327.6602 8223.84570 0.874081373 30.8470745 39.0729637 45.2423782
12600.0000 54537.8984 222.914352 -484.076508 2720.98560 6192.14941 784.964661 768.657166 489.159546 74.9803543 2117.76172 -2345.33960 -71.2300034 25743.7949 -19324.0684 8528.11035 0.873955250 30.8485584 39.0748405 45.2445526
12800.0000 54419.1680 218.384277 256.627594 2665.68945 6170.60840 770.864136 745.054321 480.350769 73.6815033 2069.95068 -2317.79419 -71.3854141 25742.7109 -19324.2598 9039.96973 0.875862062 30.8261566 39.0464668 45.2116966
13000.0000 54102.4180 218.304626 -113.768517 2664.71729 6159.83789 782.880127 747.120972 491.939392 77.7424774 2099.68311 -2355.98022 -71.8033524 25737.6035 -19321.4688 8734.78906 0.880989909 30.7662315 38.9705582 45.1238060
13200.0000 53865.5664 223.968292 1214.07703 2733.85034 6155.51953 774.238831 746.605469 475.278687 79.9742279 2076.09717 -2315.73120 -72.1190796 25718.3750 -19323.2227 9843.11719 0.884863734 30.7212696 38.9136086 45.0578613
