Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
557400.000 51006.1797 198.510895 1774.85278 2423.10693 2905.23633 5328.34326 6648.60791 -1399.78516 -45.3161812 9228.76562 -6818.21533 0.550000012 0.595000029 0.354025006 -1354.46887 9228.76562
557600.000 51006.1797 201.466766 2224.32983 2459.18750 2910.26196 5369.44922 7024.06787 -1396.37317 -45.3161812 9223.99902 -6821.29102 0.550000012 0.595000029 0.354025006 -1351.05713 9223.99902
557800.000 51006.1797 200.964584 1825.84460 2453.05762 2952.68774 5405.74512 6763.94141 -1379.07935 -45.3161812 9219.98145 -6820.07666 0.550000012 0.595000029 0.354025006 -1333.76331 9219.98145
558000.000 51006.1797 197.200272 1630.67773 2407.10864 2906.78027 5313.88916 6526.90576 -1410.44897 -45.3161812 9232.41211 -6818.35449 0.550000012 0.595000029 0.354025006 -1365.13281 9232.41211
558200.000 51006.1797 204.200333 2033.24207 2492.55444 2900.84937 5393.40381 6905.87744 -1410.67102 -45.3161812 9232.45703 -6821.54297 0.550000012 0.595000029 0.354025006 -1365.35486 9232.45703
558400.000 51006.1797 197.171005 3245.60815 2406.75171 2885.16431 5291.91553 7706.23535 -1381.08997 -45.3161812 9233.20703 -6819.20361 0.550000012 0.595000029 0.354025006 -1335.77380 9233.20703
558600.000 51006.1797 200.707993 3110.58423 2449.92554 2918.12695 5368.05273 7681.93164 -1395.17358 -45.3161812 9230.82910 -6817.12646 0.550000012 0.595000029 0.354025006 -1349.85742 9230.82910
558800.000 51006.1797 200.918243 2858.74854 2452.49194 2927.13965 5379.63135 7506.17676 -1410.80176 -45.3161812 9233.94824 -6815.72363 0.550000012 0.595000029 0.354025006 -1365.48560 9233.94824
559000.000 51006.1797 196.636597 2135.68799 2400.22852 2875.67822 5275.90674 6864.58691 -1409.96216 -45.3161812 9232.74219 -6812.08154 0.550000012 0.595000029 0.354025006 -1364.64600 9232.74219
559200.000 51006.1797 195.670044 2522.96582 2388.43018 2908.36255 5296.79248 7173.55811 -1409.66455 -45.3161812 9230.84961 -6813.55322 0.550000012 0.595000029 0.354025006 -1364.34851 9230.84961
559400.000 51006.1797 201.362335 2659.75781 2457.91260 2922.91626 5380.82910 7359.35059 -1397.18970 -45.3161812 9241.18066 -6816.67676 0.550000012 0.595000029 0.354025006 -1351.87354 9241.18066
559600.000 51006.1797 200.868973 1800.68713 2451.89038 2915.97119 5367.86182 6707.34375 -1406.90405 -45.3161812 9231.72559 -6820.92432 0.550000012 0.595000029 0.354025006 -1361.58777 9231.72559
559800.000 51006.1797 196.636826 1383.82861 2400.23120 2895.98804 5296.21924 6325.61182 -1382.82092 -45.3161812 9220.60449 -6819.71680 0.550000012 0.595000029 0.354025006 -1337.50476 9220.60449
560000.000 51006.1797 197.682083 1907.56189 2412.98999 2952.69165 5365.68164 6784.66504 -1407.34277 -45.3161812 9231.40234 -6821.03662 0.550000012 0.595000029 0.354025006 -1362.02661 9231.40234
560200.000 51006.1797 198.657745 3299.69629 2424.89917 2902.37231 5327.27148 7781.82568 -1366.49573 -45.3161812 9236.82520 -6820.28076 0.550000012 0.595000029 0.354025006 -1321.17944 9236.82520
560400.000 51006.1797 204.172424 3174.16821 2492.21387 2931.96680 5424.18066 7785.35840 -1386.64771 -45.3161812 9234.27832 -6817.50830 0.550000012 0.595000029 0.354025006 -1341.33154 9234.27832
560600.000 51006.1797 199.518890 1863.23328 2435.41089 2876.24487 5311.65576 6697.66406 -1398.28442 -45.3161812 9223.53906 -6820.51270 0.550000012 0.595000029 0.354025006 -1352.96814 9223.53906
560800.000 51006.1797 198.758286 1736.07922 2426.12671 2921.40234 5347.52881 6638.95117 -1401.39050 -45.3161812 9233.66211 -6818.39795 0.550000012 0.595000029 0.354025006 -1356.07434 9233.66211
561000.000 51006.1797 200.808533 1943.95532 2451.15259 2957.01611 5408.16846 6854.22412 -1397.45593 -45.3161812 9229.60645 -6821.10449 0.550000012 0.595000029 0.354025006 -1352.13965 9229.60645
561200.000 51006.1797 197.372833 1945.67871 2409.21509 2943.58960 5352.80469 6800.14209 -1388.78198 -45.3161812 9238.86523 -6820.34961 0.550000012 0.595000029 0.354025006 -1343.46582 9238.86523
