Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul v_scale_gauss c_lj c_coul c_gauss
657200.000 46478.4727 132.942932 1520.81311 2434.33350 -720.077271 1714.25635 2745.12549 -2740.31592 -13.4636688 295.368958 -220.666016 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.655365 295.368958 -2413.19678
657400.000 46478.4727 130.178894 1178.70264 2383.72095 -743.193298 1640.52771 2439.50049 -2721.01221 -13.4636688 294.919312 -220.704941 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.374878 294.919312 -2389.17358
657600.000 46478.4727 133.336502 2271.96753 2441.54028 -676.392578 1765.14758 3305.18018 -2701.57031 -13.4636688 294.989319 -220.684265 0.649999976 0.161085397 1.13658374E-02 0.398523122 -303.647186 294.989319 -2384.45947
657800.000 46478.4727 131.268005 1569.85547 2403.66382 -687.408142 1716.25549 2780.36768 -2726.82471 -13.4636688 295.133423 -220.737900 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.606262 295.133423 -2393.75464
658000.000 46478.4727 130.427963 1847.54297 2388.28149 -714.734680 1673.54675 2925.88696 -2738.31348 -13.4636688 294.873718 -220.623993 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.509430 294.873718 -2406.34033
658200.000 46478.4727 134.931900 2409.61694 2470.75366 -737.904602 1732.84912 3366.18604 -2722.79614 -13.4636688 295.259705 -220.600967 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.241333 295.259705 -2391.09131
658400.000 46478.4727 133.823700 1968.37976 2450.46118 -695.386536 1755.07471 3089.32300 -2722.23657 -13.4636688 295.468384 -220.579803 0.649999976 0.161085397 1.13658374E-02 0.398523122 -308.399567 295.468384 -2400.37329
658600.000 46478.4727 129.699097 1858.16858 2374.93506 -738.002319 1636.93274 2896.47559 -2725.83911 -13.4636688 295.417877 -220.640854 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.914032 295.417877 -2393.46118
658800.000 46478.4727 132.082565 2379.59668 2418.57910 -713.128418 1705.45081 3318.43872 -2727.26245 -13.4636688 295.626373 -220.719955 0.649999976 0.161085397 1.13658374E-02 0.398523122 -316.809082 295.626373 -2396.98975
659000.000 46478.4727 133.674667 1738.48926 2447.73242 -678.066956 1769.66541 2948.08447 -2707.36157 -13.4636688 294.925995 -220.674728 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.974762 294.925995 -2377.92310
659200.000 46478.4727 132.350815 1474.93140 2423.49097 -664.058289 1759.43274 2759.20142 -2724.72949 -13.4636688 294.798157 -220.689438 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.921661 294.798157 -2398.34399
659400.000 46478.4727 132.010834 2082.55835 2417.26562 -736.970642 1680.29504 3091.93799 -2735.09814 -13.4636688 295.437347 -220.724274 0.649999976 0.161085397 1.13658374E-02 0.398523122 -322.424133 295.437347 -2399.21045
659600.000 46478.4727 133.464844 2401.42090 2443.89038 -670.954529 1772.93579 3400.71680 -2702.90356 -13.4636688 295.376312 -220.645554 0.649999976 0.161085397 1.13658374E-02 0.398523122 -305.258179 295.376312 -2384.18188
659800.000 46478.4727 133.267807 2222.74023 2440.28247 -732.327454 1707.95496 3214.61914 -2719.86328 -13.4636688 295.315002 -220.669464 0.649999976 0.161085397 1.13658374E-02 0.398523122 -303.672699 295.315002 -2402.72681
660000.000 46478.4727 132.916183 1091.64307 2433.84375 -735.338806 1698.50488 2438.46533 -2732.86841 -13.4636688 295.252045 -220.650284 0.649999976 0.161085397 1.13658374E-02 0.398523122 -327.369904 295.252045 -2392.03467
660200.000 46478.4727 136.028046 1446.88501 2490.82520 -697.857483 1792.96777 2773.72559 -2700.16162 -13.4636688 294.982941 -220.720596 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.383423 294.982941 -2373.31470
660400.000 46478.4727 131.223801 1944.60413 2402.85425 -685.944458 1716.90967 3035.04175 -2718.94067 -13.4636688 295.464569 -220.653061 0.649999976 0.161085397 1.13658374E-02 0.398523122 -316.652771 295.464569 -2388.82422
